	<yagoTheme_infoboxTermsToBeRedirected_en>	<hasGloss>	"Test The attribute facts of the Wikipedia infoboxes, split into terms, still to be redirected. INTERNAL"
	<Jaume_Bartumeu>	<infobox/en/governorgeneral>	<Christian_Frémont>
	<Jaume_Bartumeu>	<infobox/en/governorgeneral>	<Nemesi_Marqués_Oste>
	<Jaume_Bartumeu>	<infobox/en/governorgeneral>	"Christian Frémont"
	<Jaume_Bartumeu>	<infobox/en/governorgeneral>	"Nemesi Marqués Oste"
	<Jaume_Bartumeu>	<infobox/en/monarch>	<Nicolas_Sarkozy>
	<Jaume_Bartumeu>	<infobox/en/monarch>	<Joan_Enric_Vives_Sicília>
	<Jaume_Bartumeu>	<infobox/en/monarch>	"Nicolas Sarkozy"
	<Jaume_Bartumeu>	<infobox/en/monarch>	"Joan Enric Vives Sicília"
	<Jaume_Bartumeu>	<infobox/en/name>	<Jaume_Bartumeu>
	<Jaume_Bartumeu>	<infobox/en/name>	"Jaume Bartumeu"
	<Jaume_Bartumeu>	<infobox/en/order>	<Head_of_Government_of_Andorra>
	<Jaume_Bartumeu>	<infobox/en/order>	"Prime Minister of Andorra"
	<Jaume_Bartumeu>	<infobox/en/party>	<Social_Democratic_Party_(Andorra)>
	<Jaume_Bartumeu>	<infobox/en/party>	"Social Democratic Party"
	<Jaume_Bartumeu>	<infobox/en/predecessor>	<Albert_Pintat>
	<Jaume_Bartumeu>	<infobox/en/predecessor>	"Albert Pintat"
	<Jaume_Bartumeu>	<infobox/en/successor>	<Pere_López_Agràs>
	<Jaume_Bartumeu>	<infobox/en/successor>	"Pere López Agràs"
	<Jaume_Bartumeu>	<infobox/en/termend>	"28"^^xsd:integer
	<Jaume_Bartumeu>	<infobox/en/termend>	"2011"^^xsd:integer
	<Jaume_Bartumeu>	<infobox/en/termend>	"28 April 2011"
	<Jaume_Bartumeu>	<infobox/en/termend>	"2011-04-28"^^xsd:date
	<Jaume_Bartumeu>	<infobox/en/termstart>	"5"^^xsd:integer
	<Jaume_Bartumeu>	<infobox/en/termstart>	"2009"^^xsd:integer
	<Jaume_Bartumeu>	<infobox/en/termstart>	"5 June 2009"
	<Jaume_Bartumeu>	<infobox/en/termstart>	"2009-06-05"^^xsd:date
	<Jean_Sarkozy>	<infobox/en/birthdate>	"1986"^^xsd:integer
	<Jean_Sarkozy>	<infobox/en/birthdate>	"9"^^xsd:integer
	<Jean_Sarkozy>	<infobox/en/birthdate>	"1"^^xsd:integer
	<Jean_Sarkozy>	<infobox/en/birthdate>	"1986-09-01"^^xsd:date
	<Jean_Sarkozy>	<infobox/en/caption>	<French_cantonal_elections,_2008>
	<Jean_Sarkozy>	<infobox/en/caption>	"2008"^^xsd:integer
	<Jean_Sarkozy>	<infobox/en/caption>	"French cantonal elections, 2008"
	<Jean_Sarkozy>	<infobox/en/caption>	"2008-##-##"^^xsd:date
	<Jean_Sarkozy>	<infobox/en/children>	<Solal_Sasha>
	<Jean_Sarkozy>	<infobox/en/children>	"Solal Sasha"
	<Jean_Sarkozy>	<infobox/en/image>	"2008"^^xsd:integer
	<Jean_Sarkozy>	<infobox/en/image>	"2008-##-##"^^xsd:date
	<Jean_Sarkozy>	<infobox/en/knownfor>	<Nicolas_Sarkozy>
	<Jean_Sarkozy>	<infobox/en/knownfor>	"Nicolas Sarkozy"
	<Jean_Sarkozy>	<infobox/en/name>	<Jean_Sarkozy>
	<Jean_Sarkozy>	<infobox/en/name>	"Jean Sarkozy"
	<Jean_Sarkozy>	<infobox/en/nationality>	<French_people>
	<Jean_Sarkozy>	<infobox/en/nationality>	"French"
	<Jean_Sarkozy>	<infobox/en/occupation>	<Student>
	<Jean_Sarkozy>	<infobox/en/occupation>	<Politician>
	<Jean_Sarkozy>	<infobox/en/occupation>	"Student"
	<Jean_Sarkozy>	<infobox/en/occupation>	"Politician"
	<Jean_Sarkozy>	<infobox/en/parents>	<Nicolas_Sarkozy>
	<Jean_Sarkozy>	<infobox/en/parents>	"Nicolas Sarkozy"
	<Jean_Sarkozy>	<infobox/en/parents>	"Marie-Dominique Culioli"
	<Jean_Sarkozy>	<infobox/en/religion>	<Roman_Catholic>
	<Jean_Sarkozy>	<infobox/en/religion>	"Roman Catholic"
	<Jean_Sarkozy>	<infobox/en/spouse>	<Jessica_Sebaoun>
	<Jean_Sarkozy>	<infobox/en/spouse>	"Jessica Sebaoun"
	<Jean-Pierre_Raffarin>	<infobox/en/birthdate>	"1948"^^xsd:integer
	<Jean-Pierre_Raffarin>	<infobox/en/birthdate>	"8"^^xsd:integer
	<Jean-Pierre_Raffarin>	<infobox/en/birthdate>	"3"^^xsd:integer
	<Jean-Pierre_Raffarin>	<infobox/en/birthdate>	"1948-08-03"^^xsd:date
	<Jean-Pierre_Raffarin>	<infobox/en/birthplace>	<Poitiers>
	<Jean-Pierre_Raffarin>	<infobox/en/birthplace>	"Poitiers"
	<Jean-Pierre_Raffarin>	<infobox/en/imagesize>	"200"^^<px>
	<Jean-Pierre_Raffarin>	<infobox/en/imagesize>	"200px"
	<Jean-Pierre_Raffarin>	<infobox/en/occupation>	<wordnet_lawyer_110249950>
	<Jean-Pierre_Raffarin>	<infobox/en/occupation>	"Lawyer"
	<Jean-Pierre_Raffarin>	<infobox/en/office>	"Minister of Commerce and Industry"
	<Jean-Pierre_Raffarin>	<infobox/en/office>	<Prime_Minister_of_France>
	<Jean-Pierre_Raffarin>	<infobox/en/office>	"Prime Minister of France"
	<Jean-Pierre_Raffarin>	<infobox/en/party>	<Liberal_Democracy_(France)>
	<Jean-Pierre_Raffarin>	<infobox/en/party>	<Union_for_a_Popular_Movement>
	<Jean-Pierre_Raffarin>	<infobox/en/party>	"2002"^^xsd:integer
	<Jean-Pierre_Raffarin>	<infobox/en/party>	"DL"
	<Jean-Pierre_Raffarin>	<infobox/en/party>	"UMP"
	<Jean-Pierre_Raffarin>	<infobox/en/party>	"2002-##-##"^^xsd:date
	<Jean-Pierre_Raffarin>	<infobox/en/predecessor>	<Alain_Madelin>
	<Jean-Pierre_Raffarin>	<infobox/en/predecessor>	"Alain Madelin"
	<Jean-Pierre_Raffarin>	<infobox/en/predecessor>	<Lionel_Jospin>
	<Jean-Pierre_Raffarin>	<infobox/en/predecessor>	"Lionel Jospin"
	<Jean-Pierre_Raffarin>	<infobox/en/president>	<Jacques_Chirac>
	<Jean-Pierre_Raffarin>	<infobox/en/president>	"Jacques Chirac"
	<Jean-Pierre_Raffarin>	<infobox/en/primeminister>	<Alain_Juppé>
	<Jean-Pierre_Raffarin>	<infobox/en/primeminister>	"Alain Juppé"
	<Jean-Pierre_Raffarin>	<infobox/en/religion>	<Roman_Catholic>
	<Jean-Pierre_Raffarin>	<infobox/en/religion>	"Roman Catholic"
	<Jean-Pierre_Raffarin>	<infobox/en/successor>	<Dominique_de_Villepin>
	<Jean-Pierre_Raffarin>	<infobox/en/successor>	"Dominique de Villepin"
	<Jean-Pierre_Raffarin>	<infobox/en/successor>	<Marylise_Lebranchu>
	<Jean-Pierre_Raffarin>	<infobox/en/successor>	"Marylise Lebranchu"
	<Jean-Pierre_Raffarin>	<infobox/en/termend>	"31"^^xsd:integer
	<Jean-Pierre_Raffarin>	<infobox/en/termend>	"2005"^^xsd:integer
	<Jean-Pierre_Raffarin>	<infobox/en/termend>	"31 May 2005"
	<Jean-Pierre_Raffarin>	<infobox/en/termend>	"2005-05-31"^^xsd:date
	<Jean-Pierre_Raffarin>	<infobox/en/termend>	"4"^^xsd:integer
	<Jean-Pierre_Raffarin>	<infobox/en/termend>	"1997"^^xsd:integer
	<Jean-Pierre_Raffarin>	<infobox/en/termend>	"4 June 1997"
	<Jean-Pierre_Raffarin>	<infobox/en/termend>	"1997-06-04"^^xsd:date
	<Jean-Pierre_Raffarin>	<infobox/en/termstart>	"18"^^xsd:integer
	<Jean-Pierre_Raffarin>	<infobox/en/termstart>	"1995"^^xsd:integer
	<Jean-Pierre_Raffarin>	<infobox/en/termstart>	"18 May 1995"
	<Jean-Pierre_Raffarin>	<infobox/en/termstart>	"1995-05-18"^^xsd:date
	<Jean-Pierre_Raffarin>	<infobox/en/termstart>	"6"^^xsd:integer
	<Jean-Pierre_Raffarin>	<infobox/en/termstart>	"2002"^^xsd:integer
	<Jean-Pierre_Raffarin>	<infobox/en/termstart>	"6 May 2002"
	<Jean-Pierre_Raffarin>	<infobox/en/termstart>	"2002-05-06"^^xsd:date
	<Joan_Enric_Vives_Sicília>	<infobox/en/birthdate>	"1949"^^xsd:integer
	<Joan_Enric_Vives_Sicília>	<infobox/en/birthdate>	"7"^^xsd:integer
	<Joan_Enric_Vives_Sicília>	<infobox/en/birthdate>	"24"^^xsd:integer
	<Joan_Enric_Vives_Sicília>	<infobox/en/birthdate>	"1949-07-24"^^xsd:date
	<Joan_Enric_Vives_Sicília>	<infobox/en/birthplace>	<Barcelona>
	<Joan_Enric_Vives_Sicília>	<infobox/en/birthplace>	<Francoist_Spain>
	<Joan_Enric_Vives_Sicília>	<infobox/en/birthplace>	"Barcelona"
	<Joan_Enric_Vives_Sicília>	<infobox/en/birthplace>	"Spain"
	<Joan_Enric_Vives_Sicília>	<infobox/en/governorgeneral>	<Nemesi_Marqués_Oste>
	<Joan_Enric_Vives_Sicília>	<infobox/en/governorgeneral>	"Nemesi Marqués Oste"
	<Joan_Enric_Vives_Sicília>	<infobox/en/name>	<Joan_Enric_Vives_Sicília>
	<Joan_Enric_Vives_Sicília>	<infobox/en/name>	"Joan Enric Vives Sicília"
	<Joan_Enric_Vives_Sicília>	<infobox/en/office>	<Co-Princes_of_Andorra>
	<Joan_Enric_Vives_Sicília>	<infobox/en/office>	"Co-Prince of Andorra"
	<Joan_Enric_Vives_Sicília>	<infobox/en/predecessor>	<Joan_Martí_i_Alanis>
	<Joan_Enric_Vives_Sicília>	<infobox/en/predecessor>	"Joan Martí i Alanis"
	<Joan_Enric_Vives_Sicília>	<infobox/en/primeminister>	<Albert_Pintat>
	<Joan_Enric_Vives_Sicília>	<infobox/en/primeminister>	<Jaume_Bartumeu>
	<Joan_Enric_Vives_Sicília>	<infobox/en/primeminister>	<Pere_López_Agràs>
	<Joan_Enric_Vives_Sicília>	<infobox/en/primeminister>	<Antoni_Martí>
	<Joan_Enric_Vives_Sicília>	<infobox/en/primeminister>	"Albert Pintat"
	<Joan_Enric_Vives_Sicília>	<infobox/en/primeminister>	"Jaume Bartumeu"
	<Joan_Enric_Vives_Sicília>	<infobox/en/primeminister>	"Pere López Agràs"
	<Joan_Enric_Vives_Sicília>	<infobox/en/primeminister>	"Antoni Martí"
	<Joan_Enric_Vives_Sicília>	<infobox/en/profession>	<Bishop_(Catholic_Church)>
	<Joan_Enric_Vives_Sicília>	<infobox/en/profession>	"Bishop"
	<Joan_Enric_Vives_Sicília>	<infobox/en/religion>	<Catholic_Church>
	<Joan_Enric_Vives_Sicília>	<infobox/en/religion>	"Roman Catholicism"
	<Joan_Enric_Vives_Sicília>	<infobox/en/termstart>	"12"^^xsd:integer
	<Joan_Enric_Vives_Sicília>	<infobox/en/termstart>	"2003"^^xsd:integer
	<Joan_Enric_Vives_Sicília>	<infobox/en/termstart>	"12 May 2003"
	<Joan_Enric_Vives_Sicília>	<infobox/en/termstart>	"2003-05-12"^^xsd:date
	<Neuilly-sur-Seine>	<infobox/en/areakm>	"3.73"^^xsd:decimal
	<Neuilly-sur-Seine>	<infobox/en/arrondissement>	"Nanterre"
	<Neuilly-sur-Seine>	<infobox/en/canton>	"Neuilly-Nord"
	<Neuilly-sur-Seine>	<infobox/en/canton>	"Neuilly-Sud"
	<Neuilly-sur-Seine>	<infobox/en/elevationmaxm>	"39"^^xsd:integer
	<Neuilly-sur-Seine>	<infobox/en/elevationmaxm>	"39"
	<Neuilly-sur-Seine>	<infobox/en/elevationminm>	"27"^^xsd:integer
	<Neuilly-sur-Seine>	<infobox/en/elevationminm>	"27"
	<Neuilly-sur-Seine>	<infobox/en/image>	"3"^^xsd:integer
	<Neuilly-sur-Seine>	<infobox/en/insee>	"92051"^^xsd:integer
	<Neuilly-sur-Seine>	<infobox/en/insee>	"92051"
	<Neuilly-sur-Seine>	<infobox/en/latitude>	"48.8881"^^xsd:decimal
	<Neuilly-sur-Seine>	<infobox/en/longitude>	"2.2686"^^xsd:decimal
	<Neuilly-sur-Seine>	<infobox/en/longitude>	"2686-##-##"^^xsd:date
	<Neuilly-sur-Seine>	<infobox/en/population>	"60454"^^xsd:integer
	<Neuilly-sur-Seine>	<infobox/en/population>	"60454"
	<Neuilly-sur-Seine>	<infobox/en/populationdate>	"2007"^^xsd:integer
	<Neuilly-sur-Seine>	<infobox/en/populationdate>	"2007"
	<Neuilly-sur-Seine>	<infobox/en/populationdate>	"2007-##-##"^^xsd:date
	<Neuilly-sur-Seine>	<infobox/en/postalcode>	"92200"^^xsd:integer
	<Neuilly-sur-Seine>	<infobox/en/postalcode>	"92200"
	<Neuilly-sur-Seine>	<infobox/en/term>	"2008"^^xsd:integer
	<Neuilly-sur-Seine>	<infobox/en/term>	"2014"^^xsd:integer
	<Neuilly-sur-Seine>	<infobox/en/term>	"2008-##-##"^^xsd:date
	<Neuilly-sur-Seine>	<infobox/en/term>	"2014-##-##"^^xsd:date
	<Nicolas_Sarkozy>	<infobox/en/almamater>	<Paris_West_University_Nanterre_La_Défense>
	<Nicolas_Sarkozy>	<infobox/en/almamater>	<Institut_d'Études_Politiques_de_Paris>
	<Nicolas_Sarkozy>	<infobox/en/almamater>	"Paris West University Nanterre La Défense"
	<Nicolas_Sarkozy>	<infobox/en/almamater>	"Paris Institute of Political Studies"
	<Nicolas_Sarkozy>	<infobox/en/alongside>	<Joan_Enric_Vives_Sicília>
	<Nicolas_Sarkozy>	<infobox/en/alongside>	"Joan Enric Vives Sicília"
	<Nicolas_Sarkozy>	<infobox/en/birthdate>	"1955"^^xsd:integer
	<Nicolas_Sarkozy>	<infobox/en/birthdate>	"1"^^xsd:integer
	<Nicolas_Sarkozy>	<infobox/en/birthdate>	"28"^^xsd:integer
	<Nicolas_Sarkozy>	<infobox/en/birthdate>	"1955-01-28"^^xsd:date
	<Nicolas_Sarkozy>	<infobox/en/birthplace>	<Paris>
	<Nicolas_Sarkozy>	<infobox/en/birthplace>	<French_Fourth_Republic>
	<Nicolas_Sarkozy>	<infobox/en/birthplace>	"Paris"
	<Nicolas_Sarkozy>	<infobox/en/birthplace>	"France"
	<Nicolas_Sarkozy>	<infobox/en/children>	<Jean_Sarkozy>
	<Nicolas_Sarkozy>	<infobox/en/children>	"Pierre"
	<Nicolas_Sarkozy>	<infobox/en/children>	"Jean"
	<Nicolas_Sarkozy>	<infobox/en/children>	"Louis"
	<Nicolas_Sarkozy>	<infobox/en/governorgeneral>	<Philippe_Massoni>
	<Nicolas_Sarkozy>	<infobox/en/governorgeneral>	<Emmanuelle_Mignon>
	<Nicolas_Sarkozy>	<infobox/en/governorgeneral>	<Christian_Frémont>
	<Nicolas_Sarkozy>	<infobox/en/governorgeneral>	"Philippe Massoni"
	<Nicolas_Sarkozy>	<infobox/en/governorgeneral>	"Emmanuelle Mignon"
	<Nicolas_Sarkozy>	<infobox/en/governorgeneral>	"Christian Frémont"
	<Nicolas_Sarkozy>	<infobox/en/image>	"2010"^^xsd:integer
	<Nicolas_Sarkozy>	<infobox/en/image>	"105"^^xsd:integer
	<Nicolas_Sarkozy>	<infobox/en/image>	"2010-10-##"^^xsd:date
	<Nicolas_Sarkozy>	<infobox/en/image>	"105-##-##"^^xsd:date
	<Nicolas_Sarkozy>	<infobox/en/office>	<Neuilly-sur-Seine>
	<Nicolas_Sarkozy>	<infobox/en/office>	"Neuilly-sur-Seine"
	<Nicolas_Sarkozy>	<infobox/en/office>	<Co-Princes_of_Andorra>
	<Nicolas_Sarkozy>	<infobox/en/office>	"Co-Prince of Andorra"
	<Nicolas_Sarkozy>	<infobox/en/office>	<List_of_Budget_Ministers_of_France>
	<Nicolas_Sarkozy>	<infobox/en/office>	"Minister of the Budget"
	<Nicolas_Sarkozy>	<infobox/en/office>	"Minister of Finance"
	<Nicolas_Sarkozy>	<infobox/en/office>	<Minister_of_the_Interior_(France)>
	<Nicolas_Sarkozy>	<infobox/en/office>	"Minister of the Interior"
	<Nicolas_Sarkozy>	<infobox/en/office>	<President_of_France>
	<Nicolas_Sarkozy>	<infobox/en/office>	"President of France"
	<Nicolas_Sarkozy>	<infobox/en/otherparty>	<Rally_for_the_Republic>
	<Nicolas_Sarkozy>	<infobox/en/otherparty>	"Rally for the Republic"
	<Nicolas_Sarkozy>	<infobox/en/party>	<Union_for_a_Popular_Movement>
	<Nicolas_Sarkozy>	<infobox/en/party>	"Union for a Popular Movement"
	<Nicolas_Sarkozy>	<infobox/en/predecessor>	<Achille_Peretti>
	<Nicolas_Sarkozy>	<infobox/en/predecessor>	"Achille Peretti"
	<Nicolas_Sarkozy>	<infobox/en/predecessor>	<Daniel_Vaillant>
	<Nicolas_Sarkozy>	<infobox/en/predecessor>	"Daniel Vaillant"
	<Nicolas_Sarkozy>	<infobox/en/predecessor>	<Dominique_de_Villepin>
	<Nicolas_Sarkozy>	<infobox/en/predecessor>	"Dominique de Villepin"
	<Nicolas_Sarkozy>	<infobox/en/predecessor>	<Francis_Mer>
	<Nicolas_Sarkozy>	<infobox/en/predecessor>	"Francis Mer"
	<Nicolas_Sarkozy>	<infobox/en/predecessor>	<Jacques_Chirac>
	<Nicolas_Sarkozy>	<infobox/en/predecessor>	"Jacques Chirac"
	<Nicolas_Sarkozy>	<infobox/en/predecessor>	<Michel_Charasse>
	<Nicolas_Sarkozy>	<infobox/en/predecessor>	"Michel Charasse"
	<Nicolas_Sarkozy>	<infobox/en/primeminister>	<Albert_Pintat>
	<Nicolas_Sarkozy>	<infobox/en/primeminister>	<Jaume_Bartumeu>
	<Nicolas_Sarkozy>	<infobox/en/primeminister>	<Pere_López_Agràs>
	<Nicolas_Sarkozy>	<infobox/en/primeminister>	<Antoni_Martí>
	<Nicolas_Sarkozy>	<infobox/en/primeminister>	"Albert Pintat"
	<Nicolas_Sarkozy>	<infobox/en/primeminister>	"Jaume Bartumeu"
	<Nicolas_Sarkozy>	<infobox/en/primeminister>	"Pere López Agràs"
	<Nicolas_Sarkozy>	<infobox/en/primeminister>	"Antoni Martí"
	<Nicolas_Sarkozy>	<infobox/en/primeminister>	<Dominique_de_Villepin>
	<Nicolas_Sarkozy>	<infobox/en/primeminister>	"Dominique de Villepin"
	<Nicolas_Sarkozy>	<infobox/en/primeminister>	<François_Fillon>
	<Nicolas_Sarkozy>	<infobox/en/primeminister>	"François Fillon"
	<Nicolas_Sarkozy>	<infobox/en/primeminister>	<Jean-Pierre_Raffarin>
	<Nicolas_Sarkozy>	<infobox/en/primeminister>	"Jean-Pierre Raffarin"
	<Nicolas_Sarkozy>	<infobox/en/primeminister>	<Édouard_Balladur>
	<Nicolas_Sarkozy>	<infobox/en/primeminister>	"Édouard Balladur"
	<Nicolas_Sarkozy>	<infobox/en/residence>	<Élysée_Palace>
	<Nicolas_Sarkozy>	<infobox/en/residence>	"Élysée Palace"
	<Nicolas_Sarkozy>	<infobox/en/spouse>	<Cécilia_Attias>
	<Nicolas_Sarkozy>	<infobox/en/spouse>	<Carla_Bruni>
	<Nicolas_Sarkozy>	<infobox/en/spouse>	"Cécilia Ciganer-Albéniz"
	<Nicolas_Sarkozy>	<infobox/en/spouse>	"Carla Bruni"
	<Nicolas_Sarkozy>	<infobox/en/successor>	<Dominique_de_Villepin>
	<Nicolas_Sarkozy>	<infobox/en/successor>	"Dominique de Villepin"
	<Nicolas_Sarkozy>	<infobox/en/successor>	<François_Baroin>
	<Nicolas_Sarkozy>	<infobox/en/successor>	"François Baroin"
	<Nicolas_Sarkozy>	<infobox/en/successor>	<François_d'Aubert>
	<Nicolas_Sarkozy>	<infobox/en/successor>	"François d'Aubert"
	<Nicolas_Sarkozy>	<infobox/en/successor>	<Hervé_Gaymard>
	<Nicolas_Sarkozy>	<infobox/en/successor>	"Hervé Gaymard"
	<Nicolas_Sarkozy>	<infobox/en/successor>	<Louis-Charles_Bary>
	<Nicolas_Sarkozy>	<infobox/en/successor>	"Louis-Charles Bary"
	<Nicolas_Sarkozy>	<infobox/en/termend>	"11"^^xsd:integer
	<Nicolas_Sarkozy>	<infobox/en/termend>	"1995"^^xsd:integer
	<Nicolas_Sarkozy>	<infobox/en/termend>	"11 May 1995"
	<Nicolas_Sarkozy>	<infobox/en/termend>	"1995-05-11"^^xsd:date
	<Nicolas_Sarkozy>	<infobox/en/termend>	"26"^^xsd:integer
	<Nicolas_Sarkozy>	<infobox/en/termend>	"2007"^^xsd:integer
	<Nicolas_Sarkozy>	<infobox/en/termend>	"26 March 2007"
	<Nicolas_Sarkozy>	<infobox/en/termend>	"2007-03-26"^^xsd:date
	<Nicolas_Sarkozy>	<infobox/en/termend>	"29"^^xsd:integer
	<Nicolas_Sarkozy>	<infobox/en/termend>	"2004"^^xsd:integer
	<Nicolas_Sarkozy>	<infobox/en/termend>	"29 November 2004"
	<Nicolas_Sarkozy>	<infobox/en/termend>	"2004-11-29"^^xsd:date
	<Nicolas_Sarkozy>	<infobox/en/termend>	"30"^^xsd:integer
	<Nicolas_Sarkozy>	<infobox/en/termend>	"2004"^^xsd:integer
	<Nicolas_Sarkozy>	<infobox/en/termend>	"30 March 2004"
	<Nicolas_Sarkozy>	<infobox/en/termend>	"2004-03-30"^^xsd:date
	<Nicolas_Sarkozy>	<infobox/en/termend>	"7"^^xsd:integer
	<Nicolas_Sarkozy>	<infobox/en/termend>	"2002"^^xsd:integer
	<Nicolas_Sarkozy>	<infobox/en/termend>	"7 May 2002"
	<Nicolas_Sarkozy>	<infobox/en/termend>	"2002-05-07"^^xsd:date
	<Nicolas_Sarkozy>	<infobox/en/termstart>	"14"^^xsd:integer
	<Nicolas_Sarkozy>	<infobox/en/termstart>	"1983"^^xsd:integer
	<Nicolas_Sarkozy>	<infobox/en/termstart>	"14 April 1983"
	<Nicolas_Sarkozy>	<infobox/en/termstart>	"1983-04-14"^^xsd:date
	<Nicolas_Sarkozy>	<infobox/en/termstart>	"16"^^xsd:integer
	<Nicolas_Sarkozy>	<infobox/en/termstart>	"2007"^^xsd:integer
	<Nicolas_Sarkozy>	<infobox/en/termstart>	"16 May 2007"
	<Nicolas_Sarkozy>	<infobox/en/termstart>	"2007-05-16"^^xsd:date
	<Nicolas_Sarkozy>	<infobox/en/termstart>	"2"^^xsd:integer
	<Nicolas_Sarkozy>	<infobox/en/termstart>	"2005"^^xsd:integer
	<Nicolas_Sarkozy>	<infobox/en/termstart>	"2 June 2005"
	<Nicolas_Sarkozy>	<infobox/en/termstart>	"2005-06-02"^^xsd:date
	<Nicolas_Sarkozy>	<infobox/en/termstart>	"30"^^xsd:integer
	<Nicolas_Sarkozy>	<infobox/en/termstart>	"1993"^^xsd:integer
	<Nicolas_Sarkozy>	<infobox/en/termstart>	"30 March 1993"
	<Nicolas_Sarkozy>	<infobox/en/termstart>	"1993-03-30"^^xsd:date
	<Nicolas_Sarkozy>	<infobox/en/termstart>	"31"^^xsd:integer
	<Nicolas_Sarkozy>	<infobox/en/termstart>	"2004"^^xsd:integer
	<Nicolas_Sarkozy>	<infobox/en/termstart>	"31 March 2004"
	<Nicolas_Sarkozy>	<infobox/en/termstart>	"2004-03-31"^^xsd:date
	<Nicolas_Sarkozy>	<infobox/en/termstart>	"7"^^xsd:integer
	<Nicolas_Sarkozy>	<infobox/en/termstart>	"2002"^^xsd:integer
	<Nicolas_Sarkozy>	<infobox/en/termstart>	"7 May 2002"
	<Nicolas_Sarkozy>	<infobox/en/termstart>	"2002-05-07"^^xsd:date
	<Nicolas_Sarkozy>	<infobox/en/website>	<http://www.sarkozy.fr/home/>
	<Nicolas_Sarkozy>	<infobox/en/name>	<Nicolas_Sarkozy>
	<Nicolas_Sarkozy>	<infobox/en/name>	"Nicolas Sarkozy"
	<Nicolas_Sarkozy>	<infobox/en/reference>	"Son Excellence"
	<Nicolas_Sarkozy>	<infobox/en/spoken>	<Monsieur_le_Président>
	<Nicolas_Sarkozy>	<infobox/en/spoken>	"Monsieur le Président"
	<Nicolas_Sarkozy>	<infobox/en/name>	<Nicolas_Sarkozy>
	<Nicolas_Sarkozy>	<infobox/en/name>	"Nicolas Sarkozy"
	<Nicolas_Sarkozy>	<infobox/en/reference>	<His_Serene_Highness>
	<Nicolas_Sarkozy>	<infobox/en/reference>	"His Serene Highness"
	<Nicolas_Sarkozy>	<infobox/en/spoken>	<Your_Serene_Highness>
	<Nicolas_Sarkozy>	<infobox/en/spoken>	"Your Serene Highness"
	<Paris_West_University_Nanterre_La_Défense>	<infobox/en/affiliations>	<University_of_Paris>
	<Paris_West_University_Nanterre_La_Défense>	<infobox/en/affiliations>	"University of Paris"
	<Paris_West_University_Nanterre_La_Défense>	<infobox/en/city>	<Nanterre>
	<Paris_West_University_Nanterre_La_Défense>	<infobox/en/city>	<Île-de-France_(region)>
	<Paris_West_University_Nanterre_La_Défense>	<infobox/en/city>	"Nanterre"
	<Paris_West_University_Nanterre_La_Défense>	<infobox/en/city>	"Île-de-France"
	<Paris_West_University_Nanterre_La_Défense>	<infobox/en/established>	<University_of_Paris>
	<Paris_West_University_Nanterre_La_Défense>	<infobox/en/established>	"1964"^^xsd:integer
	<Paris_West_University_Nanterre_La_Défense>	<infobox/en/established>	"1253"^^xsd:integer
	<Paris_West_University_Nanterre_La_Défense>	<infobox/en/established>	"University of Paris"
	<Paris_West_University_Nanterre_La_Défense>	<infobox/en/established>	"1964-##-##"^^xsd:date
	<Paris_West_University_Nanterre_La_Défense>	<infobox/en/established>	"1253-##-##"^^xsd:date
	<Paris_West_University_Nanterre_La_Défense>	<infobox/en/name>	<Université_Paris_Ouest_Nanterre_La_Défense>
	<Paris_West_University_Nanterre_La_Défense>	<infobox/en/name>	"Université Paris Ouest Nanterre La Défense"
	<Paris_West_University_Nanterre_La_Défense>	<infobox/en/president>	<Bernadette_Madeuf>
	<Paris_West_University_Nanterre_La_Défense>	<infobox/en/president>	"Bernadette Madeuf"
	<Paris_West_University_Nanterre_La_Défense>	<infobox/en/students>	"35000"^^xsd:integer
	<Paris_West_University_Nanterre_La_Défense>	<infobox/en/type>	<Public_university>
	<Paris_West_University_Nanterre_La_Défense>	<infobox/en/type>	"Public"
	<Paris_West_University_Nanterre_La_Défense>	<infobox/en/website>	"10"^^xsd:integer
	<Paris_West_University_Nanterre_La_Défense>	<infobox/en/website>	<http://www.u-paris10.fr/>
	<Pere_López_Agràs>	<infobox/en/governorgeneral>	<Christian_Frémont>
	<Pere_López_Agràs>	<infobox/en/governorgeneral>	<Nemesi_Marqués_Oste>
	<Pere_López_Agràs>	<infobox/en/governorgeneral>	"Christian Frémont"
	<Pere_López_Agràs>	<infobox/en/governorgeneral>	"Nemesi Marqués Oste"
	<Pere_López_Agràs>	<infobox/en/monarch>	<Nicolas_Sarkozy>
	<Pere_López_Agràs>	<infobox/en/monarch>	<Joan_Enric_Vives_Sicília>
	<Pere_López_Agràs>	<infobox/en/monarch>	"Nicolas Sarkozy"
	<Pere_López_Agràs>	<infobox/en/monarch>	"Joan Enric Vives Sicília"
	<Pere_López_Agràs>	<infobox/en/office>	<List_of_heads_of_government_of_Andorra>
	<Pere_López_Agràs>	<infobox/en/office>	"Prime Minister of Andorra"
	<Pere_López_Agràs>	<infobox/en/party>	<Social_Democratic_Party_(Andorra)>
	<Pere_López_Agràs>	<infobox/en/party>	"Social Democratic Party"
	<Pere_López_Agràs>	<infobox/en/predecessor>	<Jaume_Bartumeu_Cassany>
	<Pere_López_Agràs>	<infobox/en/predecessor>	"Jaume Bartumeu Cassany"
	<Pere_López_Agràs>	<infobox/en/termend>	"12"^^xsd:integer
